config,trace,instr,cycles,BRANCH_DIRECT_JUMP_mpki,BRANCH_INDIRECT_mpki,BRANCH_CONDITIONAL_mpki,BRANCH_DIRECT_CALL_mpki,BRANCH_INDIRECT_CALL_mpki,BRANCH_RETURN_mpki,BRANCH_DIRECT_JUMP_count,BRANCH_INDIRECT_count,BRANCH_CONDITIONAL_count,BRANCH_DIRECT_CALL_count,BRANCH_INDIRECT_CALL_count,BRANCH_RETURN_count
blbp64_tuned,rubocop__rubocop-13668_w00000,200000001,187982375,0.2132,0.8622,4.889,0.4659,0.2557,0.6492,1337631,1151645,27665919,3291849,550778,3839149
blbp64_tuned,rubocop__rubocop-13668_w00001,200000000,119047816,1.211,0.2225,0.8057,0.04303,1.189,0.1127,2936479,3009905,22173962,2359426,421710,2779302
blbp64_tuned,rubocop__rubocop-13668_w00002,200000003,178501868,1.021,0.6068,1.118,0.0829,0.9816,0.1979,2754256,2510435,21777716,3181829,638538,3817961
blbp64_tuned,rubocop__rubocop-13668_w00003,200000004,107052847,0.00107,0.01398,0.4262,0.001085,0.00048,0.1539,1631261,3361281,25662991,1544247,425847,1968815
basic_btb,706.stockfish_r.sp0,200000000,139060942,0.000965,0.2149,4.868,0.01184,0.001795,0.03401,2009566,192645,15203047,1648859,4237,1653096
basic_btb,706.stockfish_r.sp1,200000003,145839104,8.5e-05,0.2094,5.571,0.00631,4e-05,0.04018,1890249,209929,15908622,1658393,11,1658390
basic_btb,706.stockfish_r.sp2,200000001,141262792,8.5e-05,0.1793,4.855,0.00791,0,0.01865,1885935,181712,15526242,1495433,0,1495426
basic_btb,707.ntest_r.sp0,200000001,111475008,5e-06,0.000175,2.187,0,0,0.02058,1193798,3554,9902725,2792298,0,2792293
basic_btb,707.ntest_r.sp1,200000004,112079273,3.5e-05,0.00024,2.33,5e-06,1e-05,0.02708,1102657,4064,8753593,2555805,10,2555832
basic_btb,707.ntest_r.sp2,200000004,113054373,5.5e-05,0.00018,0.6586,3e-05,0,0.00189,925054,2933,5627153,2141141,6,2141133
basic_btb,708.sqlite_r.sp0,200000000,174681808,1e-05,0,0.02135,5e-06,1e-05,5e-06,8394659,3043112,23399662,1147718,393457,1541175
basic_btb,708.sqlite_r.sp1,200000004,175704017,0.00261,0.5609,2.014,0.001505,0.1056,0.104,3689725,1701518,27818776,2489608,799833,3289443
basic_btb,708.sqlite_r.sp2,200000002,112884985,0.00099,0.04062,0.6083,5e-06,0.01062,0.004,4870805,2002843,30168925,1496289,528775,2025065
basic_btb,710.omnetpp_r.sp0,200000002,190092110,0.00121,0.1405,6.895,4.5e-05,0.00272,0.00172,561500,613960,44860635,778398,407807,1186205
basic_btb,710.omnetpp_r.sp2,200000003,251024587,0.8163,0.518,2.675,0.0176,1.331,1.029,2569700,1730054,21604710,3392407,2679525,6071927
basic_btb,714.cpython_r.sp0,200000004,104103481,0.00054,2.345,0.003455,0.00014,0.00032,0.000955,3561122,3085338,25261156,2806017,562356,3368371
basic_btb,714.cpython_r.sp1,200000001,102065757,0.3232,1.293,0.9699,0.08081,0,0.4847,3296169,2052009,27904125,3344642,484732,3829365
basic_btb,721.gcc_r.sp1,200000001,156495624,0.133,0.1616,4.036,0.06978,0.1006,0.2615,3000985,358968,29282270,3165607,283659,3449273
basic_btb,723.llvm_r.sp1,200000001,153745201,0.6332,0.8727,7.382,1.176,0.1372,0.5431,2945746,804418,27258443,4535660,158516,4694183
basic_btb,723.llvm_r.sp2,200000003,106563624,0.03164,0.184,0.7407,0.000365,0.0003,0.00145,1774234,978910,23664945,5607478,7958,5615436
basic_btb,727.cppcheck_r.sp1,200000004,368216692,0.02997,0.4405,0.2722,0.00611,0.03606,0.05365,2783885,1874953,38324809,4049217,97085,4146297
basic_btb,727.cppcheck_r.sp2,200000001,154120688,0.00059,0.006795,0.1781,0.00028,6.5e-05,0.00026,1633648,401871,44570339,3204586,11486,3216072
basic_btb,729.abc_r.sp0,200000003,162444024,0.000105,0.00011,11,1.5e-05,0,1.5e-05,3801460,2539,27530713,21062,0,21061
basic_btb,729.abc_r.sp2,200000004,163086105,0.00013,0.00017,8.604,7e-05,0,6.5e-05,3539197,1181,28876751,7990,0,7990
basic_btb,734.vpr_r.sp0,200000000,94485461,1e-05,0,2.192,0,0,5e-06,894270,1,42531436,561738,0,561738
basic_btb,734.vpr_r.sp1,200000003,371639775,0.1059,1.283,2.066,0.00068,1.5e-05,0.000795,2268056,2472799,31495203,3709136,31346,3740500
basic_btb,735.gem5_r.sp1,200000004,136942617,0.08124,0.5198,0.6343,0.008835,0.3346,1.113,2872711,1730192,26584635,3133383,724627,3858014
