trace,benchmark,weight,config,label,instructions,cycles,ipc,mpki,dir_mpki,cycwpki,accuracy,rv_delivered_pct,speedup,mpki_reduction_pct,dir_mpki_reduction_pct,cycwpki_reduction_pct
727.cppcheck_r.sp1,727.cppcheck_r,0.2039,cbp_runlts,RUNLTS (no RV),200000004,367968054,0.543525,0.8176,0.0808,235.853,99.6800,0.00,1.000676,2.5042,20.0752,2.4162
727.cppcheck_r.sp1,727.cppcheck_r,0.2039,cbp_runlts_rv,RUNLTS (load RV),200000004,367968049,0.543525,0.8179,0.0812,236.190,99.6800,35.98,1.000676,2.4684,19.7191,2.2767
727.cppcheck_r.sp1,727.cppcheck_r,0.2039,cbp_perfdir,Perfect direction,200000004,366522506,0.545669,0.7447,0.0000,190.838,99.7100,0.00,1.004622,11.1972,100.0000,21.0411
727.cppcheck_r.sp1,727.cppcheck_r,0.2039,cbp_perfall,Perfect direction+target,200000004,361206452,0.553700,0.0000,0.0000,0.000,100.0000,0.00,1.019408,100.0000,100.0000,100.0000
727.cppcheck_r.sp2,727.cppcheck_r,0.7747,cbp_tagescl64,TAGE-SC-L 64KB,200000001,154120688,1.297684,0.1861,0.1339,54.372,99.9300,0.00,1.000000,0.0000,0.0000,0.0000
727.cppcheck_r.sp2,727.cppcheck_r,0.7747,cbp_tagescl192,TAGE-SC-L 192KB,200000001,154081663,1.298013,0.1792,0.1270,52.646,99.9300,0.00,1.000253,3.7077,5.1098,3.1748
727.cppcheck_r.sp2,727.cppcheck_r,0.7747,cbp_ddtage,DD-TAGE (Ros),200000001,153997653,1.298721,0.1737,0.1215,50.948,99.9300,0.00,1.000799,6.6631,9.1962,6.2972
727.cppcheck_r.sp2,727.cppcheck_r,0.7747,cbp_runlts,RUNLTS (no RV),200000001,153729893,1.300983,0.1464,0.0943,41.170,99.9400,0.00,1.002542,21.3326,29.5757,24.2804
727.cppcheck_r.sp2,727.cppcheck_r,0.7747,cbp_runlts_rv,RUNLTS (load RV),200000001,153753893,1.300780,0.1468,0.0946,41.208,99.9400,29.14,1.002386,21.1177,29.3105,24.2104
727.cppcheck_r.sp2,727.cppcheck_r,0.7747,cbp_perfdir,Perfect direction,200000001,152994458,1.307237,0.0527,0.0000,9.145,99.9800,0.00,1.007361,71.6873,100.0000,83.1805
727.cppcheck_r.sp2,727.cppcheck_r,0.7747,cbp_perfall,Perfect direction+target,200000001,152579043,1.310796,0.0000,0.0000,0.000,100.0000,0.00,1.010104,100.0000,100.0000,100.0000
729.abc_r.sp0,729.abc_r,0.8523,cbp_tagescl64,TAGE-SC-L 64KB,200000003,162444024,1.231193,11.0000,10.9950,599.519,92.9900,0.00,1.000000,0.0000,0.0000,0.0000
729.abc_r.sp0,729.abc_r,0.8523,cbp_tagescl192,TAGE-SC-L 192KB,200000002,161784582,1.236212,10.8300,10.8321,594.703,93.1000,0.00,1.004076,1.5455,1.4819,0.8033
729.abc_r.sp0,729.abc_r,0.8523,cbp_ddtage,DD-TAGE (Ros),200000002,161935862,1.235057,10.8600,10.8617,595.893,93.0800,0.00,1.003138,1.2727,1.2130,0.6047
